Bid,Difference_Bid_PTE,Winner,codmat,coduasg,Tender,ipgItem,ipgQuantidade,ipgValorMinClassif,Pre_Tender,Date,Bid_value,numprp,prgCod,Competitor,atualizado,Number_bids,especificidade,frequencia,material,Collusive_competitor_original,Collusive_competitor,CV,SPD,DIFFP,RD,KURT,SKEW,KSTEST
7518715,5245785.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370234,12790890.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518712,5176675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370232,12860000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518703,5166675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370222,12870000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518697,5145775.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370212,12890900.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518678,5136675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370195,12900000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518682,4935685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370199,13100990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518659,4845685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370176,13190990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518649,4745685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370160,13290990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518647,4726675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370160,13310000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518634,4685685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370144,13350990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518642,4606675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370152,13430000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518619,4586675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370124,13450000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518626,4455685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370132,13580990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518616,4445685.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370117,13590990.0,42006,22051,03697750000152,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518610,4431675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370117,13605000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
7518604,4426675.6,0,3697,250059,540445,1,60,11880000.0,18036675.6,1138370102,13610000.0,42006,22051,01920177000179,1,174,19845,0, ,0,0,0.1151,0.5167,0.0009,0.007,-0.017,0.851,0.3625
